x,y,,,,,,,
-4.0999,2.09E-12,,,,,,,
-4.00013,2.60E-12,,,,,,,
-3.90002,3.53E-12,,,,,,,
-3.79992,4.57E-12,,,,,,,
-3.70015,6.12E-12,,,,,,,
-3.60003,8.36E-12,,,,,,,
-3.49994,1.15E-11,,,,,,,
-3.39985,1.62E-11,,,,,,,
-3.30014,2.33E-11,,,,,,,
-3.20004,3.39E-11,,,,,,,
-3.09995,4.99E-11,,,,,,,
-2.99983,7.82E-11,,,,,,,
-2.90006,1.18E-10,,,,,,,
-2.79998,1.81E-10,,,,,,,
-2.69986,2.86E-10,,,,,,,
-2.60007,4.82E-10,,,,,,,
-2.49999,7.33E-10,,,,,,,
-2.39991,1.15E-09,,,,,,,
-2.29981,1.84E-09,,,,,,,
-2.20006,2.82E-09,,,,,,,
-2.09997,4.20E-09,,,,,,,
-1.99987,5.47E-09,,,,,,,
-1.89986,8.16E-09,,,,,,,
-1.8001,1.16E-08,,,,,,,
-1.70001,1.60E-08,,,,,,,
-1.59991,2.17E-08,,,,,,,
-1.49982,2.87E-08,,,,,,,
-1.40007,3.73E-08,,,,,,,
-1.29996,4.79E-08,,,,,,,
-1.19985,5.79E-08,,,,,,,
-1.10007,7.31E-08,,,,,,,
-0.99997,9.07E-08,,,,,,,
-0.89985,1.11E-07,,,,,,,
-0.79974,1.34E-07,,,,,,,
-0.69995,1.61E-07,,,,,,,
-0.59993,1.91E-07,,,,,,,
-0.49983,2.25E-07,,,,,,,
-0.39971,2.63E-07,,,,,,,
-0.29993,3.04E-07,,,,,,,
-0.19985,3.51E-07,,,,,,,
-0.09971,4.02E-07,,,,,,,
-2.13E-04,4.57E-07,,,,,,,
0.09989,5.12E-07,,,,,,,
0.2,5.79E-07,,,,,,,
0.29978,6.50E-07,,,,,,,
0.39989,7.27E-07,,,,,,,
0.5,8.09E-07,,,,,,,
0.60008,8.98E-07,,,,,,,
0.69979,9.92E-07,,,,,,,
0.79991,1.09E-06,,,,,,,
0.90001,1.20E-06,,,,,,,
1.00013,1.31E-06,,,,,,,
1.09992,1.43E-06,,,,,,,
1.20002,1.56E-06,,,,,,,
1.30012,1.69E-06,,,,,,,
1.40024,1.83E-06,,,,,,,
1.49999,1.98E-06,,,,,,,
1.60008,2.13E-06,,,,,,,
1.70019,2.30E-06,,,,,,,
1.80026,2.47E-06,,,,,,,
1.90002,2.64E-06,,,,,,,
2.00005,2.81E-06,,,,,,,
2.10013,3.01E-06,,,,,,,
2.20023,3.21E-06,,,,,,,
2.29997,3.42E-06,,,,,,,
2.40007,3.63E-06,,,,,,,
2.50015,3.86E-06,,,,,,,
2.60023,4.09E-06,,,,,,,
2.70002,4.33E-06,,,,,,,
2.80014,4.57E-06,,,,,,,
2.90023,4.82E-06,,,,,,,
3.00032,5.07E-06,,,,,,,
3.1001,5.35E-06,,,,,,,
3.20018,5.63E-06,,,,,,,
3.30029,5.92E-06,,,,,,,
3.40033,6.22E-06,,,,,,,
3.50008,6.52E-06,,,,,,,
3.60019,6.83E-06,,,,,,,
3.70029,7.15E-06,,,,,,,
3.80039,7.48E-06,,,,,,,
3.90016,7.82E-06,,,,,,,
4.00027,8.16E-06,,,,,,,
4.10038,8.52E-06,,,,,,,
4.20046,8.87E-06,,,,,,,
4.30024,9.26E-06,,,,,,,
4.40032,9.62E-06,,,,,,,
4.50042,1.00E-05,,,,,,,
4.60051,1.04E-05,,,,,,,
4.70024,1.08E-05,,,,,,,
4.80026,1.12E-05,,,,,,,
4.90035,1.16E-05,,,,,,,
5.00043,1.20E-05,,,,,,,
5.1002,1.24E-05,,,,,,,
5.20029,1.29E-05,,,,,,,
5.30036,1.33E-05,,,,,,,
5.40046,1.37E-05,,,,,,,
5.50025,1.42E-05,,,,,,,
5.60033,1.46E-05,,,,,,,
5.70044,1.51E-05,,,,,,,
5.8002,1.56E-05,,,,,,,
5.9003,1.60E-05,,,,,,,
6.00038,1.65E-05,,,,,,,
6.1004,1.70E-05,,,,,,,
6.20018,1.74E-05,,,,,,,
6.30029,1.79E-05,,,,,,,
6.40037,1.84E-05,,,,,,,
6.50047,1.89E-05,,,,,,,
6.60023,1.94E-05,,,,,,,
6.70034,1.99E-05,,,,,,,
6.80045,2.04E-05,,,,,,,
6.90055,2.10E-05,,,,,,,
7.0003,2.15E-05,,,,,,,
7.10038,2.20E-05,,,,,,,
7.20049,2.25E-05,,,,,,,
7.30055,2.31E-05,,,,,,,
7.40031,2.36E-05,,,,,,,
7.50034,2.41E-05,,,,,,,
7.60044,2.47E-05,,,,,,,
7.70052,2.52E-05,,,,,,,
7.80028,2.58E-05,,,,,,,
7.90036,2.64E-05,,,,,,,
8.00045,2.69E-05,,,,,,,
8.10053,2.75E-05,,,,,,,
8.20031,2.81E-05,,,,,,,
8.3004,2.86E-05,,,,,,,
8.40051,2.92E-05,,,,,,,
8.50061,2.98E-05,,,,,,,
8.60037,3.03E-05,,,,,,,
8.70048,3.09E-05,,,,,,,
8.80056,3.15E-05,,,,,,,
8.90059,3.21E-05,,,,,,,
9.00035,3.27E-05,,,,,,,
9.10045,3.33E-05,,,,,,,
9.20056,3.39E-05,,,,,,,
9.30066,3.45E-05,,,,,,,
9.40041,3.51E-05,,,,,,,
9.50052,3.57E-05,,,,,,,
9.60064,3.63E-05,,,,,,,
9.70072,3.69E-05,,,,,,,
9.80048,3.76E-05,,,,,,,
9.90059,3.82E-05,,,,,,,
10.00067,3.88E-05,,,,,,,
10.10076,3.94E-05,,,,,,,
10.20043,4.01E-05,,,,,,,
10.30053,4.08E-05,,,,,,,
10.40062,4.14E-05,,,,,,,
10.5007,4.21E-05,,,,,,,
10.60046,4.27E-05,,,,,,,
10.70054,4.33E-05,,,,,,,
10.80063,4.40E-05,,,,,,,
10.90074,4.46E-05,,,,,,,
11.00052,4.54E-05,,,,,,,
11.1006,4.61E-05,,,,,,,
11.20071,4.67E-05,,,,,,,
11.3008,4.74E-05,,,,,,,
11.40057,4.80E-05,,,,,,,
11.50066,4.87E-05,,,,,,,
11.60071,4.94E-05,,,,,,,
11.70046,5.00E-05,,,,,,,
